Date,Institution,Ticker,Net Tangible Assets,Shareholders Funds,Return on shareholder funds,EBITDA,Return on Total Assets,Liquidity ratio, Shareholders liquidity ratio,Solvency ratio ,Total asset,Year
31/12/2010,STANDARD CHARTER PLC,STAN.L,31049371,24822763,15.75,4267101,1.19,1.09,2.32,7.52,329911222,2010
31/12/2009,STANDARD CHARTER PLC,STAN.L,24096229,17288996,18.45,-6474704,1.18,0.1,1.59,6.39,270390117,2009
31/12/2008,STANDARD CHARTER PLC,STAN.L,11804455,15648486,21.15,-6189064,1.1,0.86,28.87,5.22,300000690,2008
31/12/2007,STANDARD CHARTER PLC,STAN.L,7581915,10764213,18.81,-3686086,1.23,0.86,564.52,6.52,165188920,2007
31/12/2006,STANDARD CHARTER PLC,STAN.L,6012672,8888718,18.27,-2843859,1.19,0.08,33.65,6.54,135932455,2006
31/12/2005,STANDARD CHARTER PLC,STAN.L,4976118,7183714,21.74,-2470877,1.25,0.09,23.23,5.73,125288909,2005
31/12/2004,STANDARD CHARTER PLC,STAN.L,6812000,5028000,22.97,-1625000,1.52,1.09,1.79,6.63,75858000,2004
31/12/2023,AVIVA PLC,AV.L,13740000,9600000,17.6,2413000,0.51,0.91,1.33,2.92,328843000,2023
31/12/2022,AVIVA PLC,AV.L,9559000,12895000,-18.45,-1536000,-0.75,0.9,15.63,4.09,315316000,2022
31/12/2021,AVIVA PLC,AV.L,17746000,19454000,4.12,1753000,0.22,0.9,9.81,5.43,358474000,2021
31/12/2020,AVIVA PLC,AV.L,19590000,20560000,12.71,5463000,0.54,1,6.3,4.28,479857000,2020
31/12/2019,AVIVA PLC,AV.L,17773000,18185000,21.63,5244000,0.85,1,4.29,3.95,460043000,2019
31/12/2018,AVIVA PLC,AV.L,53188000,17724000,9.32,2913000,0.38,0.19,0.44,4.12,430478000,2018
31/12/2017,AVIVA PLC,AV.L,370246000,19135000,12.41,3756000,0.54,1.64,0.05,4.32,442685000,2017
31/12/2016,AVIVA PLC,AV.L,389069000,18428000,9.95,3192000,0.42,2.17,0.05,4.18,440419000,2016
31/12/2015,AVIVA PLC,AV.L,364761000,17109000,6.85,1854000,0.3,2.83,0.05,4.41,387874000,2015
31/12/2014,AVIVA PLC,AV.L,8623000,12276000,21.69,3248000,0.93,0.99,3.26,4.3,285719000,2014
31/12/2013,AVIVA PLC,AV.L,10962000,9635000,15.28,2353000,0.53,0.17,2.49,3.45,278876000,2013
31/12/2012,AVIVA PLC,AV.L,10422000,9978000,2.47,2602000,0.08,0.29,3.27,3.16,315689000,2012
31/12/2011,AVIVA PLC,AV.L,15124000,14373000,4.42,1654000,0.2,0.16,3.23,4.6,312376000,2011
31/12/2010,AVIVA PLC,AV.L,149240000,16735000,16.93,4336000,0.77,0.24,0.12,4.52,370107000,2010
31/12/2009,AVIVA PLC,AV.L,13896000,15119000,13.37,-23593000,0.57,0.99,3.01,4.27,354404000,2009
31/12/2008,AVIVA PLC,AV.L,304486000,14446000,-16.39,-20004000,-0.67,1.05,0.05,4.07,354562000,2008
31/12/2007,AVIVA PLC,AV.L,14779000,16592000,11.19,-9794000,0.58,0.11,3.72,5.19,319720000,2007
31/12/2006,AVIVA PLC,AV.L,277920000,14064000,23.63,-13796000,1.14,3.17,0.05,4.8,292722000,2006
31/12/2005,AVIVA PLC,AV.L,245849000,11092000,31.1,-21844000,1.31,2.47,0.05,4.21,263660000,2005
31/12/2004,AVIVA PLC,AV.L,217996000,9244000,16.1,-16794000,0.64,5.87,0.04,3.98,232270000,2004
31/12/2023,LEGAL & GENERAL GROUP PLC,LGEN.L,27556000,4784000,4.08,1860000,0.04,0.07,0.2,0.92,522095000,2023
31/12/2022,LEGAL & GENERAL GROUP PLC,LGEN.L,54919000,12139000,22.49,3123000,0.53,0.12,0.28,2.37,513276000,2022
31/12/2021,LEGAL & GENERAL GROUP PLC,LGEN.L,87188000,10943000,24.05,3068000,0.45,0.06,0.14,1.88,582638000,2021
31/12/2020,LEGAL & GENERAL GROUP PLC,LGEN.L,66606000,9966000,15.04,1877000,0.26,0.07,0.17,1.75,570565000,2020
31/12/2019,LEGAL & GENERAL GROUP PLC,LGEN.L,408762000,9422000,22.88,2559000,0.38,0.33,0.02,1.68,560607000,2019
31/12/2018,LEGAL & GENERAL GROUP PLC,LGEN.L,379414000,8652000,24.29,2147000,0.43,0.42,0.02,1.76,492517000,2018
31/12/2017,LEGAL & GENERAL GROUP PLC,LGEN.L,13145000,7919000,26.03,2357000,0.41,0.11,1.48,1.57,505877000,2017
31/12/2016,LEGAL & GENERAL GROUP PLC,LGEN.L,9437000,7283000,25.64,1922000,0.4,0.08,3.14,1.56,467854000,2016
31/12/2015,LEGAL & GENERAL GROUP PLC,LGEN.L,8129000,6693000,21.13,1668000,0.36,0.96,3.84,1.69,396799000,2015
31/12/2014,LEGAL & GENERAL GROUP PLC,LGEN.L,44714000,6303000,22.42,1426000,0.35,1.1,0.16,1.58,399553000,2014
31/12/2013,LEGAL & GENERAL GROUP PLC,LGEN.L,6809000,5700000,23.07,1478000,0.36,0.06,3.83,1.57,363164000,2013
31/12/2012,LEGAL & GENERAL GROUP PLC,LGEN.L,11517000,5480000,22.08,1409000,0.35,0.19,0.89,1.58,346301000,2012
31/12/2011,LEGAL & GENERAL GROUP PLC,LGEN.L,319216000,5266000,14.77,982000,0.24,6.88,0.02,1.61,326961000,2011
31/12/2010,LEGAL & GENERAL GROUP PLC,LGEN.L,7426000,4874000,26.82,1518000,0.4,0.06,1.91,1.5,323873000,2010
31/12/2009,LEGAL & GENERAL GROUP PLC,LGEN.L,286156000,4198000,29.51,898000,0.42,1.29,0.01,1.41,297411000,2009
31/12/2008,LEGAL & GENERAL GROUP PLC,LGEN.L,21109000,3732000,-57.69,-36427000,-0.84,0.05,0.21,1.45,256727000,2008
31/12/2007,LEGAL & GENERAL GROUP PLC,LGEN.L,256533000,5624000,14.14,249000,0.28,0.42,0.02,2,281561000,2007
31/12/2006,LEGAL & GENERAL GROUP PLC,LGEN.L,10530000,5839000,33.04,-14596500,0.89,0.05,1.24,2.68,217865000,2006
31/12/2005,LEGAL & GENERAL GROUP PLC,LGEN.L,9238000,4542000,34.98,-25182000,0.83,0.05,0.97,2.37,191865000,2005
31/12/2004,LEGAL & GENERAL GROUP PLC,LGEN.L,145966000,3376000,19.14,-242000,0.42,0.48,0.02,2.21,153067000,2004
31/12/2023,PRUDENTIAL PLC,PRU.L,13960000,14115000,12.63,2401000,1.3,0.11,3.67,10.33,136629000,2023
31/12/2022,PRUDENTIAL PLC,PRU.L,14111000,14153000,8.53,2152000,0.88,0.12,2.14,10.32,137125000,2022
31/12/2021,PRUDENTIAL PLC,PRU.L,13481000,12754000,17.48,2095000,1.52,0.14,1.97,8.67,147091000,2021
31/12/2020,PRUDENTIAL PLC,PRU.L,, .,,,,,,,,2020
31/12/2019,PRUDENTIAL PLC,PRU.L,16450106,14824389,9.77,1845040,0.42,0.07,0.95,4.33,342337956,2019
31/12/2018,PRUDENTIAL PLC,PRU.L,475327000,17267000,21.05,4182000,0.71,1.33,0.04,3.39,508645000,2018
31/12/2017,PRUDENTIAL PLC,PRU.L,437633000,16094000,20.48,4251000,0.67,10.31,0.04,3.26,493941000,2017
31/12/2016,PRUDENTIAL PLC,PRU.L,436151000,14667000,15.51,12635000,0.48,1.22,0.03,3.12,470498000,2016
31/12/2015,PRUDENTIAL PLC,PRU.L,348075000,12956000,24.3,3368000,0.81,0.45,0.04,3.35,386985000,2015
31/12/2014,PRUDENTIAL PLC,PRU.L,333425000,11812000,26.7,3644000,0.85,0.71,0.04,3.2,369204000,2014
31/12/2013,PRUDENTIAL PLC,PRU.L,297709000,9651000,21.57,2378000,0.64,1.02,0.03,2.96,325932000,2013
31/12/2012,PRUDENTIAL PLC,PRU.L,12851000,10364000,30.76,3468090,1.03,0.07,1.22,3.34,310253000,2012
31/12/2011,PRUDENTIAL PLC,PRU.L,71682000,9160000,21.03,2860000,0.7,0.07,0.13,3.35,273580000,2011
31/12/2010,PRUDENTIAL PLC,PRU.L,246457000,8075000,25.66,2153000,0.79,1.34,0.03,3.1,260806000,2010
31/12/2009,PRUDENTIAL PLC,PRU.L,5229000,6303000,24.81,-26824000,0.69,0.95,1.4,2.77,227754000,2009
31/12/2008,PRUDENTIAL PLC,PRU.L,184204000,5113000,-40.56,-13790000,-0.96,0.48,0.03,2.37,215542000,2008
31/12/2007,PRUDENTIAL PLC,PRU.L,196432000,6303000,18.8,-13206000,0.54,0.5,0.03,2.87,219744000,2007
31/12/2006,PRUDENTIAL PLC,PRU.L,192471000,5620000,36.85,-17502000,0.96,0.51,0.03,2.6,216520000,2006
31/12/2005,PRUDENTIAL PLC,PRU.L,181313000,5366000,39.97,-23628000,1.03,0.39,0.03,2.59,207377000,2005
31/12/2004,PRUDENTIAL PLC,PRU.L,151774000,4352000,31.04,-13779000,0.77,2.03,0.03,2.49,174540000,2004
31/12/2023,SCHRODERS PLC,SDR.L,3157000,4463700,10.92,873200,2.36,1.08,5.21,21.64,20628900,2023
31/12/2022,SCHRODERS PLC,SDR.L,3456100,4479700,13.1,911900,2.75,1.08,4.95,21,21334600,2022
31/12/2021,SCHRODERS PLC,SDR.L,17441400,4425700,17.27,926900,3.14,3.67,0.31,18.18,24341700,2021
31/12/2020,SCHRODERS PLC,SDR.L,15653900,4085900,14.94,779300,2.82,3.88,0.32,18.85,21673100,2020
31/12/2019,SCHRODERS PLC,SDR.L,15476800,3847500,16.23,763300,2.94,3.95,0.3,18.09,21266200,2019
31/12/2018,SCHRODERS PLC,SDR.L,14237200,3621200,17.95,730700,3.31,3.94,0.31,18.44,19634300,2018
31/12/2017,SCHRODERS PLC,SDR.L,16950000,3471000,21.9,823600,3.38,0.99,0.24,15.43,22487900,2017
31/12/2016,SCHRODERS PLC,SDR.L,2696600,3152800,19.6,664500,7.79,1.47,20.89,39.72,7936600,2016
31/12/2015,SCHRODERS PLC,SDR.L,2521200,2795600,21.07,625400,8.84,1.54,14.48,41.95,6664600,2015
31/12/2014,SCHRODERS PLC,SDR.L,15924600,2537800,20.38,535100,2.57,5.13,0.18,12.6,20142900,2014
31/12/2013,SCHRODERS PLC,SDR.L,2094200,2268600,19.73,455600,8.25,1.53,7.21,41.81,5425600,2013
31/12/2012,SCHRODERS PLC,SDR.L,11717400,2069900,17.39,355700,2.45,1.34,0.21,14.1,14675100,2012
31/12/2011,SCHRODERS PLC,SDR.L,2267800,1901600,21.42,406900,2.93,0.99,3.73,13.7,13884800,2011
31/12/2010,SCHRODERS PLC,SDR.L,2176700,1799700,22.61,399300,8.03,1.5,3.46,35.52,5066100,2010
31/12/2009,SCHRODERS PLC,SDR.L,2078500,1649000,8.34,111100,1.34,1.16,2.89,16.03,10288600,2009
31/12/2008,SCHRODERS PLC,SDR.L,1795900,1632200,7.54,85500,1.62,1.19,4.99,21.49,7595400,2008
31/12/2007,SCHRODERS PLC,SDR.L,1908100,1696200,23.14,358000,5.71,1.24,5.11,24.67,6876700,2007
31/12/2006,SCHRODERS PLC,SDR.L,1701700,1443600,20.09,263400,8.1,1.56,4.27,40.34,3578900,2006
31/12/2005,SCHRODERS PLC,SDR.L,1523100,1343100,18.67,203600,7.5,1.56,6.39,40.2,3341400,2005
31/12/2004,SCHRODERS PLC,SDR.L,1296700,1114100,17.14,100600,7.08,1.84,5.65,41.3,2697600,2004
31/12/2024,3I GROUP HOLDING PLC,III.L,21423000,20170000,19.03,3835000,17.73,3.23,15.44,93.2,21641000,2024
31/12/2023,3I GROUP HOLDING PLC,III.L,17694000,16844000,27.16,4578000,25.67,2.34,19.7,94.53,17819000,2023
31/12/2022,3I GROUP HOLDING PLC,III.L,13618000,12754000,31.5,4018000,28.81,1.17,14.66,91.44,13948000,2022
31/12/2021,3I GROUP HOLDING PLC,III.L,10242000,9164000,20.24,1863000,17.95,3.06,8.44,88.68,10334000,2021
31/12/2020,3I GROUP HOLDING PLC,III.L,8436000,7757000,2.77,222000,2.51,7.62,11.27,90.55,8567000,2020
31/12/2019,3I GROUP HOLDING PLC,III.L,8589000,7909000,15.55,1233000,14.1,9.18,11.45,90.69,8721000,2019
31/12/2018,3I GROUP HOLDING PLC,III.L,7720000,7024000,21.18,1491000,18.84,6.6,9.92,88.92,7899000,2018
31/12/2017,3I GROUP HOLDING PLC,III.L,6583000,5836000,26.11,1529000,22.7,7.65,7.81,86.94,6713000,2017
31/12/2016,3I GROUP HOLDING PLC,III.L,5151000,4455000,18.38,782000,14.75,2.7,6.29,80.21,5554000,2016
31/12/2015,3I GROUP HOLDING PLC,III.L,4709000,3806000,18.44,710000,14.28,5.13,4.13,77.44,4915000,2015
31/12/2014,3I GROUP HOLDING PLC,III.L,4199000,3308000,15.69,521000,11.83,4.01,3.67,75.39,4388000,2014
31/12/2013,3I GROUP HOLDING PLC,III.L,3882000,2934000,6.44,439000,4.38,2.22,2.99,68.04,4312000,2013
31/12/2012,3I GROUP HOLDING PLC,III.L,4076000,2627000,-29.58,-418000,-16.89,2.57,1.79,57.11,4600000,2012
31/12/2011,3I GROUP HOLDING PLC,III.L,5274000,3357000,5.63,455000,3.28,3.46,1.73,58.29,5759000,2011
31/12/2010,3I GROUP HOLDING PLC,III.L,5502000,3068000,5.18,-577000,2.68,5.37,1.26,51.69,5935000,2010
31/12/2009,3I GROUP HOLDING PLC,III.L,4145000,1862000,-104.4,-2723000,-39.43,1.04,0.82,37.77,4930000,2009
31/12/2008,3I GROUP HOLDING PLC,III.L,5756000,4057000,20.56,834000,11.93,0.7,2.39,58.04,6990000,2008
31/12/2007,3I GROUP HOLDING PLC,III.L,5359000,4249000,24.92,1194000,15.46,1.59,3.83,62.04,6849000,2007
31/12/2006,3I GROUP HOLDING PLC,III.L,5744000,4006000,21.34,870000,13.42,3.39,2.3,62.89,6370000,2006
31/12/2005,3I GROUP HOLDING PLC,III.L,3723000,3637000,4.29,-74000,2.74,0.66,42.29,63.8,5701000,2005
31/12/2023,HARGREAVES LANSDOWN PLC,HL.L,668600000,709700000,56.74,399700000,31.32,2.15,66.95,55.2,1285800000,2023
31/12/2022,HARGREAVES LANSDOWN PLC,HL.L,549300000,573500000,46.94,285100000,25.01,2.07,39.83,53.29,1076200000,2022
31/12/2021,HARGREAVES LANSDOWN PLC,HL.L,575200000,592400000,61.78,380500000,26.44,1.7,33.47,42.8,1384100000,2021
31/12/2020,HARGREAVES LANSDOWN PLC,HL.L,550000000,557600000,67.84,351300000,29.65,1.74,25.7,43.7,1276100000,2020
31/12/2019,HARGREAVES LANSDOWN PLC,HL.L,435700000,459300000,66.58,313500000,31.42,1.81,656.14,47.19,973200000,2019
31/12/2018,HARGREAVES LANSDOWN PLC,HL.L,386500000,405200000,72.16,297700000,36.94,1.96,578.86,51.19,791500000,2018
31/12/2017,HARGREAVES LANSDOWN PLC,HL.L,295100000,307700000,86.38,267100000,35.85,1.65,512.83,41.5,741500000,2017
31/12/2016,HARGREAVES LANSDOWN PLC,HL.L,246268000,254164000,86.12,223582000,25.7,1.39,521.9,29.85,851578000,2016
